구분,서울,경기,충북,충남
2020년05월,1349.36,1259.28,1267.58,1262.78
2020년06월,1419.02,1337.40,1325.08,1325.78
2020년07월,1453.29,1371.46,1363.04,1361.58
2020년08월,1456.56,1370.26,1364.95,1362.18
2020년09월,1445.50,1357.75,1359.31,1354.68
2020년10월,1425.29,1337.84,1342.04,1336.42
2020년11월,1408.54,1324.58,1325.41,1323.39
2020년12월,1450.21,1376.93,1372.91,1368.09
2021년01월,1518.71,1451.14,1443.69,1437.01
2021년02월,1546.17,1472.22,1465.03,1461.61
2021년03월,1598.88,1521.57,1516.85,1511.65
2021년04월,1614.21,1539.22,1537.86,1534.82
2021년05월,1623.76,1546.43,1545.60,1544.25
2021년06월,1660.54,1584.79,1580.18,1580.48
2021년07월,1711.70,1637.01,1629.70,1628.27
2021년08월,1729.24,1652.88,1647.73,1644.48
2021년09월,1725.37,1648.47,1645.68,1643.36
2021년10월,1794.03,1720.45,1716.55,1713.83
2021년11월,1800.08,1744.76,1742.68,1742.63
2021년12월,1705.75,1649.13,1657.24,1652.43
2022년01월,1705.21,1639.79,1644.24,1641.50
2022년02월,1782.07,1722.78,1720.06,1716.52
2022년03월,2011.74,1947.80,1939.24,1937.99
2022년04월,2036.85,1979.18,1985.18,1982.15
2022년05월,2027.54,1971.16,1975.79,1972.00
