기준일,서울,경기,충북,충남
2020년05월,9571,6493,1205,1142
2020년06월,9647,6579,1216,1161
2020년07월,9934,7290,1377,1559
2020년08월,10175,7872,1695,2051
2020년09월,10613,8549,1882,2246
2020년10월,11082,9267,1973,2308
2020년11월,11764,9877,2074,2421
2020년12월,12050,10304,2106,2490
2021월01월,12389,10657,2144,2551
2021년02월,12711,11035,2271,2649
2021년03월,14952,11750,2412,2841
2021년04월,15353,11809,2427,2848
2021년05월,16438,12510,2457,2928
2021년06월,17172,14100,2617,3281
2021년07월,17622,14546,2939,3560
2021년08월,18098,14876,3077,3701
2021년09월,19411,15946,3199,3920
2021년10월,20003,16508,3268,4087
2021년11월,20997,17197,3319,4252
2021년12월,22118,18512,3467,4547
2022월01월,22676,19332,3662,4878
2022년02월,23052,19903,3794,5157
2022년03월,23393,20477,3883,5489
